,directorID,name,bod,birthplace
0,director0,Don McKellar,1963-08-17,Toronto
0,director1,Girish Joshi,,
0,director2,Josh Webber,,
0,director3,Sonia Anderson,,
0,director4,Giles Foster,,
0,director5,Paul Weiland,1953-07-11,
0,director6,Fran Strine,,
0,director7,"Thomas Kail, Alex Rudzinski",,
0,director8,Daniel Gilboy,,
0,director9,Robert Allan Ackerman,,
0,director10,Justin G. Dyck,,
0,director11,Liz Tuccillo,,
0,director12,Dominique Rocher,,
0,director13,Jep Barcelona,,
0,director14,Becca Gleason,,
0,director15,Glenn Miller,1904-03-01,"Clarinda, Iowa"
0,director16,,,
0,director17,Drake Doremus,1983-03-29,"Orange, California"
0,director18,William Nigh,1881-10-12,"Berlin, Wisconsin"
0,director19,Sam Pillsbury,,
0,director20,Dr. Rudolf Lammers,,
0,director21,Ida Lupino,1918-02-04,Herne Hill
0,director22,George C. Wolfe,1954-09-23,"Frankfort, Kentucky"
0,director23,Daisy Aitkens,,
0,director24,Mark Knight,,
0,director25,R. John Hugh,,
0,director26,Mahi V Raghav,,
0,director27,Allan Moyle,,
0,director28,Boaz Davidson,1943-11-08,Tel Aviv
0,director29,Jeffrey Schwarz,,
0,director30,Tim Gray,1952-11-11,
0,director31,Baeble Music,,
0,director32,Thor Freudenthal,1972-10-20,
0,director33,Cannis Holder,,
0,director34,Buzz Kulik,1922-07-23,"Kearny, New Jersey"
0,director35,Robert Ginty,1948-11-14,"Brooklyn, New York"
0,director36,John Elbert Ferrer,,
0,director37,Jenny Bowen,,
0,director38,Oscar Micheaux,1884-01-02,"Metropolis, Illinois"
0,director39,Alfred Santell,,
0,director40,Mack V. Wright,1894-03-09,"Princeton, Indiana"
0,director41,Carroll Ballard,1937-10-14,
0,director42,Frederic Compain,,
0,director43,Jonathan Chase Cook,,
0,director44,Brandon Jones,,
0,director45,Alan Scales,,
0,director46,Frank Hall Green,,
0,director47,Jason Bourque,1972-09-06,Vancouver
0,director48,Glenn Gordon Caron,,
0,director49,Andrew V. McLaglen,1920-07-28,London
0,director50,Mike Slee,1959-08-23,Windlesham
0,director51,Eugene Jarecki,1969-10-05,"New Haven, Connecticut"
0,director52,Kreeti Gogia,,
0,director53,"Caryl Ebenezer, J. Mervyn Williams",,
0,director54,Ian Lilley,,
0,director55,Bernard Carr,,
0,director56,John Fortenberry,,
0,director57,Karen Shakhnazarov,1952-07-08,Krasnodar
0,director58,Aaron J. Christopher,,
0,director59,Leonide Moguy,,
0,director60,David Bolt,,
0,director61,William Hoareau,,
0,director62,Amma Asante,1969-09-13,Lambeth
0,director63,William K. Howard,1899-06-16,"St. Marys, Ohio"
0,director64,Rocío de Prat Gay,,
0,director65,Anand Tucker,1963-06-24,Bangkok
0,director66,Jamall Rashaud McMillan,,
0,director67,Harold Trompetero,,
0,director68,Albert Herman,,
0,director69,Jerry Reed,1937-03-20,
0,director70,Howard Bretherton,,
0,director71,Robert Hill,,
0,director72,Kôji Masunari,,
0,director73,"Caroline Laskow, Ian Rosenberg",,
0,director74,Saleel Kulkarni,,
0,director75,John McKay,,
0,director76,Lynne Ramsay,1969-12-05,Glasgow
0,director77,Melvin Van Peebles,1932-08-21,Chicago
0,director78,Moonbug Entertainment,,
0,director79,María Ripoll,,
0,director80,Frank Capra,1897-05-18,Bisacquino
0,director81,Siddharth Anand,1978-07-31,Mumbai
0,director82,Tony Machi,,
0,director83,Anna Mastro,,
0,director84,Charles Lamont,1895-05-05,San Francisco
0,director85,Joseph Kane,1894-03-19,San Diego
0,director86,Tom Wright,,
0,director87,Corey Horton,,
0,director88,Charles Garrad,,
0,director89,Jacob Rosenberg,,
0,director90,Ben Cookson,,
0,director91,Jason Wise,1989-07-07,
0,director92,Minoru Yamada,,
0,director93,Bill Norton,,
0,director94,Graeme Campbell,,
0,director95,Eric D. Howell,,
0,director96,BabyFirst,,
0,director97,Siva,,
0,director98,Lamont Johnson,1922-09-30,"Stockton, California"
0,director99,Aashiq Abu,1978-04-12,Edappally
0,director100,Dustin Lance Black,1974-06-10,"Sacramento County, California"
0,director101,Jack Fisk,1945-12-19,"Canton, Illinois"
0,director102,Srijit Mukherjee,,
0,director103,Daniel Roussel,,
0,director104,Saurabh Varma,,
0,director105,KS Ravindra(Bobby),,
0,director106,Vivek Elangovan,,
0,director107,"Pete Mortimer, Nick Rosen",,
0,director108,Marta Cunningham,,
0,director109,Mark Allen Michaels,,
0,director110,Pavel Navageethan,1984-01-17,Chengalpattu
0,director111,Mohana Krishna Indraganti,,
0,director112,Josiah Burdick,,
0,director113,Josh Perrault,,
0,director114,Elliot Nugent,,
0,director115,Tony Succar,1986-05-18,Lima
0,director116,"Amin Bakhshian, Kyla Simone Bruce",,
0,director117,William C. Thomas,,
0,director118,Stacey Lee,,
0,director119,Doug Dearth,,
0,director120,Kevin Tostado,,
0,director121,Frank McDonald,,
0,director122,Justin Malone,,
0,director123,Joseph C. Hanwright,,
0,director124,Dick Maas,1951-04-15,Heemstede
0,director125,Ernie Reyes Jr.,1972-01-15,"San Jose, California"
0,director126,Abhishek Pathak,,
0,director127,Bill Cote,,
0,director128,Jim Nichols,1975-08-27,
0,director129,Terje Toftenes,,
0,director130,James Fox,1939-05-19,London
0,director131,David Cherniack,,
0,director132,Malcolm St. Clair,,
0,director133,Keva Rosenfeld,,
0,director134,Dante J. Pugliese,,
0,director135,AUSTIN NWAOLIE,,
0,director136,Janaya N Black,,
0,director137,"Bill Bixby, Charles Braverman, Jackie Cooper",,
0,director138,Laugh Factory,,
0,director139,Angus Benfield,,
0,director140,Adán Medrano,,
0,director141,Herbert Ross,1927-05-13,
0,director142,Jim Gardner,,
0,director143,Ben Stiller,1965-11-30,New York City
0,director144,Sylvain White,,
0,director145,Sanket Prakash Pavse,,
0,director146,Dan Curtis,1927-08-12,"Bridgeport, Connecticut"
0,director147,Greg Kwedar,,
0,director148,Gabriel Silverman,,
0,director149,Antonio Negret,,
0,director150,Karzan Kader,,
0,director151,"Jeremy Teicher, Alexi Pappas",,
0,director152,Craig Ross Jr.,,
0,director153,"Rehmat Rayatt, Leva Kwestany",,
0,director154,Carlos Sánchez,,
0,director155,Geordie Day,,
0,director156,Vikram Sirikonda,1977-07-20,Warangal
0,director157,Maria Ripoll,,
0,director158,Bert I. Gordon,1922-09-24,"Kenosha, Wisconsin"
0,director159,LeAnn Erickson,,
0,director160,Edward Sloman,1886-07-19,London
0,director161,Tone Bell,1983-08-10,"Decatur, Georgia"
0,director162,Stuart Beattie,1971-08-04,Melbourne
0,director163,Manny Rodriguez,,
0,director164,Jo Kastner,,
0,director165,Jay Chapman,,
0,director166,Rob Zombie,1965-01-12,
0,director167,Tom Green,1971-07-30,Pembroke
0,director168,Robert Stevenson,,
0,director169,Roberto Ángel Salcedo,,
0,director170,Manu Boyer,,
0,director171,Ra Chezhiyan,,
0,director172,Alfred Hitchcock,1899-08-13,Leytonstone
0,director173,Jonathan Miller,1934-07-21,St John's Wood
0,director174,Tim Bell,,
0,director175,Fro Rojas,,
0,director176,"Adam Dufour, Jacob Dufour",,
0,director177,Sam Newfield,1899-12-06,New York City
0,director178,Matt Askem,,
0,director179,Michael Petroni,,
0,director180,Ali Abbas Zafar,,
0,director181,Aubrey Scotto,,
0,director182,Albert Pyun,1953-05-19,Territory of Hawaii
0,director183,Kevin Tenney,,
0,director184,Jean-Pierre Krief,,
0,director185,J.S. Cardone,,
0,director186,Richard Rush,1780-08-29,
0,director187,Vijay Krishna Acharya,,
0,director188,Rajesh Mohanan Nair,,
0,director189,Martha Coolidge,1946-08-17,"New Haven, Connecticut"
0,director190,Charles Walters,1911-11-17,"Pasadena, California"
0,director191,Robert Florey,1900-09-14,Paris
0,director192,Gordon Parks Jr.,,
0,director193,Kyle Clark,,
0,director194,Steve Asquith,,
0,director195,Rob Silvestri,,
0,director196,David Stoten,,
0,director197,Lance Mungia,,
0,director198,Gil Junger,1954-11-07,New York City
0,director199,Susanna Bier,,
0,director200,Erle C. Kenton,1896-08-01,"Norborne, Missouri"
0,director201,William Wyler,1902-07-01,Mülhausen
0,director202,Isao Yukisada,1968-08-03,Kumamoto
0,director203,Ralph Ziman,,
0,director204,Aidan Belizaire,,
0,director205,Ted Tetzlaff,1903-06-03,Los Angeles
0,director206,Alexandre Moors,,
0,director207,Russell Holt,,
0,director208,Neko Sparks,,
0,director209,"Angelo J. Guglielmo,  Jr.",,
0,director210,George Archainbaud,1890-05-07,Paris
0,director211,Tom Harper,,
0,director212,Stephen Cone,1980-08-10,"Louisville, Kentucky"
0,director213,David Mamet,1947-11-30,
0,director214,John Zaritsky,,
0,director215,Robin Hardy,,
0,director216,Martin R Smith,,
0,director217,Robert Child,,
0,director218,Robert Luketic,1973-11-01,"Sydney, New South Wales"
0,director219,King Vidor,1894-02-08,"Galveston, Texas"
0,director220,Mark Jean,,
0,director221,Andrew Patterson,,
0,director222,Loki Mulholland,,
0,director223,Joanne Hock,,
0,director224,"Terry L. Noss, Richard Rich",,
0,director225,Stephan Schultze,,
0,director226,Martin Krejcí,,
0,director227,Roger Corman,1926-04-05,
0,director228,Pascal Laugier,1971-10-16,
0,director229,Wei-Hao Cheng,,
0,director230,"Jordan Leondopoulos, John C. Broderick, John Shade",,
0,director231,Swami Tadatmananda,,
0,director232,"Matt Servo, Troy McDonald, Laurel Dalgleish, Brett Jubinville",,
0,director233,Eric Bilitch,,
0,director234,Tony Waters,,
0,director235,Robin Parsons,,
0,director236,James Melkonian,,
0,director237,David Jackson,,
0,director238,Evan Oppenheimer,,
0,director239,André Pellenz,,
0,director240,B. Harrison Smith,,
0,director241,Joanna Hogg,1960-03-20,London
0,director242,Henry King,,
0,director243,Aleksey Tsitsilin,,
0,director244,Oceanic Research Group,,
0,director245,Jean van de Velde,,
0,director246,Robin Pront,,
0,director247,Shawn Cunningham,,
0,director248,John Sayles,1950-09-28,"Schenectady, New York"
0,director249,Norman Z. McLeod,1898-09-20,"Grayling, Michigan"
0,director250,"Elliot Weaver, Zander Weaver",,
0,director251,Carter Smith,1971-09-06,
0,director252,Galt Neiderhoffer,,
0,director253,Hao Wu,,
0,director254,Jamal (Jay) Sommerville aka The God i.e.,,
0,director255,Paul Schneider,,
0,director256,Mario Andreacchio,1955-01-01,"Leigh Creek, South Australia"
0,director257,Henry Hathaway,1898-03-13,"Sacramento, California"
0,director258,Howard Higgin,,
0,director259,Stephen Frears,1941-06-20,Leicester
0,director260,Yen-Ping Chu,,
0,director261,Neena Nejad and Xoel Pamos,,
0,director262,Jimmy Henderson,,
0,director263,The Pop Ups,,
0,director264,Rupert Julian,1879-01-25,Whangaroa
0,director265,Elizabeth Rohrbaugh,,
0,director266,"Jefferson Moore, Shane Sooter",,
0,director267,Mark Deimel,,
0,director268,Simon Egan,,
0,director269,Alan J. Pakula,1928-04-07,The Bronx
0,director270,"Howard Kress, Harold F. Kress",,
0,director271,George McCowan,1927-06-27,
0,director272,Timothy Woodward Jr.,,
0,director273,Arther HIller,,
0,director274,Gene Saks,1921-11-08,New York City
0,director275,Jerry Lewis,1926-03-16,"Newark, New Jersey"
